pruid,prname,date,numconf,numtotal,numtoday
48,Alberta,4/5/2020,1250,1250,175
47,Saskatchewan,4/5/2020,249,249,18
46,Manitoba,4/5/2020,187,203,9
35,Ontario,4/5/2020,4038,4038,408
24,Quebec,4/5/2020,7944,7944,947
10,Newfoundland and Labrador,4/5/2020,217,217,22
13,New Brunswick,4/5/2020,101,101,3
12,Nova Scotia,4/5/2020,262,262,26
11,Prince Edward Island,4/5/2020,22,22,0
60,Yukon,4/5/2020,6,6,0
61,Northwest Territories,4/5/2020,4,4,0
62,Nunavut,4/5/2020,0,0,0
99,Repatriated travellers,4/5/2020,13,13,0
1,Canada,4/5/2020,15496,15512,1608
59,British Columbia,4/6/2020,1266,1266,63
48,Alberta,4/6/2020,1348,1348,98
47,Saskatchewan,4/6/2020,253,253,4
46,Manitoba,4/6/2020,190,204,1
35,Ontario,4/6/2020,4347,4347,309
24,Quebec,4/6/2020,8580,8580,636
10,Newfoundland and Labrador,4/6/2020,226,226,9
13,New Brunswick,4/6/2020,103,103,2
12,Nova Scotia,4/6/2020,293,293,31
11,Prince Edward Island,4/6/2020,22,22,0
60,Yukon,4/6/2020,7,7,1
61,Northwest Territories,4/6/2020,5,5,1
62,Nunavut,4/6/2020,0,0,0
99,Repatriated travellers,4/6/2020,13,13,0
1,Canada,4/6/2020,16653,16667,1155
59,British Columbia,4/7/2020,1291,1291,25
48,Alberta,4/7/2020,1373,1373,25
47,Saskatchewan,4/7/2020,260,260,7
46,Manitoba,4/7/2020,203,217,13
35,Ontario,4/7/2020,4726,4726,379
24,Quebec,4/7/2020,9340,9340,760
10,Newfoundland and Labrador,4/7/2020,228,228,2
13,New Brunswick,4/7/2020,105,105,2
12,Nova Scotia,4/7/2020,310,310,17
11,Prince Edward Island,4/7/2020,22,22,0
60,Yukon,4/7/2020,7,7,0
61,Northwest Territories,4/7/2020,5,5,0
62,Nunavut,4/7/2020,0,0,0
99,Repatriated travellers,4/7/2020,13,13,0
1,Canada,4/7/2020,17883,17897,1230
59,British Columbia,4/8/2020,1336,1336,45
48,Alberta,4/8/2020,1423,1423,50
47,Saskatchewan,4/8/2020,271,271,11
46,Manitoba,4/8/2020,206,221,4
35,Ontario,4/8/2020,5276,5276,550
24,Quebec,4/8/2020,10031,10031,691
10,Newfoundland and Labrador,4/8/2020,232,232,4
13,New Brunswick,4/8/2020,108,108,3
12,Nova Scotia,4/8/2020,342,342,32
11,Prince Edward Island,4/8/2020,24,24,2
60,Yukon,4/8/2020,7,7,0
61,Northwest Territories,4/8/2020,5,5,0
62,Nunavut,4/8/2020,0,0,0
99,Repatriated travellers,4/8/2020,13,13,0
1,Canada,4/8/2020,19274,19289,1392
59,British Columbia,4/9/2020,1370,1370,34
48,Alberta,4/9/2020,1451,1451,28
47,Saskatchewan,4/9/2020,278,278,7
46,Manitoba,4/9/2020,207,224,3
35,Ontario,4/9/2020,5759,5759,483
24,Quebec,4/9/2020,10912,10912,881
10,Newfoundland and Labrador,4/9/2020,236,236,4
13,New Brunswick,4/9/2020,111,111,3
12,Nova Scotia,4/9/2020,373,373,31
11,Prince Edward Island,4/9/2020,25,25,1
60,Yukon,4/9/2020,8,8,1
61,Northwest Territories,4/9/2020,5,5,0
62,Nunavut,4/9/2020,0,0,0
99,Repatriated travellers,4/9/2020,13,13,0
1,Canada,4/9/2020,20748,20765,1476
59,British Columbia,4/10/2020,1410,1410,40
48,Alberta,4/10/2020,1500,1500,49
47,Saskatchewan,4/10/2020,285,285,7
46,Manitoba,4/10/2020,215,230,6
35,Ontario,4/10/2020,6237,6237,478
24,Quebec,4/10/2020,11677,11677,765
10,Newfoundland and Labrador,4/10/2020,239,239,3
13,New Brunswick,4/10/2020,112,112,1
12,Nova Scotia,4/10/2020,407,407,34
11,Prince Edward Island,4/10/2020,25,25,0
60,Yukon,4/10/2020,8,8,0
61,Northwest Territories,4/10/2020,5,5,0
62,Nunavut,4/10/2020,0,0,0
99,Repatriated travellers,4/10/2020,13,13,0
1,Canada,4/10/2020,22133,22148,1383
59,British Columbia,4/11/2020,1445,1445,35
48,Alberta,4/11/2020,1569,1569,69
47,Saskatchewan,4/11/2020,289,289,4
46,Manitoba,4/11/2020,226,242,12
35,Ontario,4/11/2020,6648,6648,411
24,Quebec,4/11/2020,12292,12292,615
10,Newfoundland and Labrador,4/11/2020,241,241,2
13,New Brunswick,4/11/2020,112,112,0
12,Nova Scotia,4/11/2020,428,428,21
11,Prince Edward Island,4/11/2020,25,25,0
60,Yukon,4/11/2020,8,8,0
61,Northwest Territories,4/11/2020,5,5,0
62,Nunavut,4/11/2020,0,0,0
99,Repatriated travellers,4/11/2020,13,13,0
1,Canada,4/11/2020,23301,23317,1169
59,British Columbia,4/12/2020,1445,1445,0
48,Alberta,4/12/2020,1651,1651,82
